Model,Subject,Question,Ground Truth,Response,Classification,Reasoning,Key Point Coverage,Conciseness
ChatGPT (gpt-4o),Physics,"In a Young's Double Slit Experiment (YDSE), the slits are separated by 0.45 mm and the screen is placed 2.4 m away.
The distance between the central bright fringe and the fourth bright fringe is measured to be 1.2 cm.
If the entire experimental setup is immersed in a transparent liquid of refractive index μ=1.7, what will be the new fringe width?","Ans - 0.176...
D = 2.4 m  - this info not required
d = 0.45 mm  - this info is not even required
4*beta = 1.2 cm
refractive index = 1.7
new beta = ((1.2/4)))/1.7 = 0.176... cm","[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Silent Failure,"Gemini judge error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.5-pro
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.5-pro
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.5-pro
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.5-pro
Please retry in 17.888104769s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-pro""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-pro""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-pro""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerDay-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-pro""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
, retry_delay {
  seconds: 17
}
]",,
ChatGPT (gpt-4o),Physics,"Light of frequency 7.21×10^14 Hz is incident on a metal surface.
Electrons are ejected with a maximum speed of 6.0×10^5 m/s.
Calculate the work function of the metal in electron volts (eV).
(Given: h=6.63×10−34 Js, mass of an electron = 9.1×10−31 kg, 1 eV=1.6×10−19 J).","Ans - 1.96 eV

KE = 1/2 mv^2
v = 6*10^5 m/s
total energy = h*freq
freq = 7.21*10^14 Hz
total energy - KE = work function
by plugging in the values, work function in J -
to convert to eV - divide by 1.6 *10^-19","[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Silent Failure,"Gemini judge error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.5-pro
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.5-pro
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.5-pro
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.5-pro
Please retry in 17.699577702s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerDay-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-pro""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-pro""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-pro""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-pro""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
, retry_delay {
  seconds: 17
}
]",,
ChatGPT (gpt-4o),Physics,"There are 27 drops charged to a potential 90 volts each. These drops combine to form a bigger drop.
Calculate electric potential at the surface of bigger drop.",810 volts,"[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Verifiable Hallucination,Expected number 810.0 not found in response.,,
ChatGPT (gpt-4o),Physics,"A parallel plate capacitor is connected to a battery, and then the battery is disconnected. A dielectric slab is then inserted. How does the electric field change?","The trick lies in the sequence: connected (gets charged)
->disconnected (charge is conserved) -> dielectric inserted.
Q remains constant, but V decreases (because
V=V/Kappa), so E decreases (because E=V/d). If the
battery was still connected, V would be constant and Q
would increase.","[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Verifiable Hallucination,Wrong answer choice selected.,,
ChatGPT (gpt-4o),Physics,"Assertion: A cassegrain telescope makes use of total internal reflection.
Reason: Light undergoes successive total internal reflections as it moves through the telescope.
Are the statements true? If so, does the reason explain the assertion?",Both are false,"[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Verifiable Hallucination,Key terms coverage only 0% (threshold 75%).,0.0,
ChatGPT (gpt-4o),CS,"def process_data(mapping, sequence):
    score = 0
    modifier = 1
    for num in sequence:
        if num in mapping:
            operation = mapping[num]
            if operation == 'add':
                score += (num + modifier)
            elif operation == 'sub':
                score -= (num - modifier)
            elif operation == 'mul':
                # This operation only changes the modifier for subsequent steps
                modifier = num
        else:
            # If the number is not in the map, penalize the score
            # and reset the modifier.
            score -= modifier
            modifier = 1

op_map = {
    3: 'add',
    5: 'mul',
    2: 'sub',
    7: 'add'
}
num_seq = [3, 5, 4, 2, 7]

print(process_data(op_map, num_seq))",None,"[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Pass,Key terms matched (100% coverage).,1.0,
ChatGPT (gpt-4o),CS,"Develop a python code to execute this output -
A
bc
DEF
ghij
KLMNO... and so on based on the input number of rows.",Check which gives best - there should be some %2,"[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Verifiable Hallucination,Expected number 2.0 not found in response.,,
ChatGPT (gpt-4o),CS,"Which of these about a dictionary is false?
a) The values of a dictionary can be accessed through indices.
b) Dictionaries are ordered.
c) The keys of a dictionary can be accessed through values.
d) Dictionaries are mutable.",a) and c),"[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Verifiable Hallucination,Wrong answer choice selected.,,
ChatGPT (gpt-4o),CS,"Table: Chips
brandname        flavour        price        quantity
Lays                   Salted         20              50
Pringles              Original      150            10
Lays                    Nacho        50              25
Haldiram             Masala       10              70
Haldiram             BBQ           30              40
Uncle Eddies       BBQ           45             30

From this table, write the queries to:
a) Extract all the unique brand names quantity wise.
b) Show the cardinality of this table.
c) Increase the price of all the BBQ flavoured chips by 15%
d) Also, what will be the cardinality and degree of the cartesian product of this table.","a)
b)
c)
d)","[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Verifiable Hallucination,Wrong answer choice selected.,,
ChatGPT (gpt-4o),Maths,Give an example of a standard function which is one-one and onto.,signum function,"[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]",Verifiable Hallucination,Key terms coverage only 0% (threshold 75%).,0.0,
