,
Physics,Golden Answers
"In a Young's Double Slit Experiment (YDSE), the slits are separated by 0.45Â mm and the screen is placed 2.4Â m away.
The distance between the central bright fringe and the fourth bright fringe is measured to be 1.2 cm.
If the entire experimental setup is immersed in a transparent liquid of refractive index Î¼=1.7, what will be the new fringe width?","Ans - 0.176...
D = 2.4 m  - this info not required
d = 0.45 mm  - this info is not even required
4*beta = 1.2 cm
refractive index = 1.7
new beta = ((1.2/4)))/1.7 = 0.176... cm "
"Light of frequency 7.21Ã10^14 Hz is incident on a metal surface.
Electrons are ejected with a maximum speed of 6.0Ã10^5 m/s.
Calculate the work function of the metal in electron volts (eV).
(Given: h=6.63Ã10â34 Js, mass of an electron = 9.1Ã10â31 kg, 1 eV=1.6Ã10â19 J).","Ans - 1.96 eV

KE = 1/2 mv^2
v = 6*10^5 m/s
total energy = h*freq
freq = 7.21*10^14 Hz
total energy - KE = work function
by plugging in the values, work function in J -
to convert to eV - divide by 1.6 *10^-19
"
"There are 27 drops charged to a potential 90 volts each. These drops combine to form a bigger drop.
 Calculate electric potential at the surface of bigger drop.",810 volts
"A parallel plate capacitor is connected to a battery, and then the battery is disconnected. A dielectric slab is then inserted. How
does the electric field change?","The trick lies in the sequence: connected (gets charged)
->disconnected (charge is conserved) -> dielectric inserted.
Q remains constant, but V decreases (because
V=V/Kappa), so E decreases (because E=V/d). If the
battery was still connected, V would be constant and Q
would increase."
"Assertion : A cassegrain telescope make use of total internal reflection.
Reason : Light undergoes successive total internal reflections as it moves through the telescope.
Are the statements true? If so, does the reason explain the assertion?",Both are false
CS,
"def process_data(mapping, sequence):
    score = 0
    modifier = 1
    for num in sequence:
        if num in mapping:
            operation = mapping[num]
            if operation == 'add':
                score += (num + modifier)
            elif operation == 'sub':
                score -= (num - modifier)
            elif operation == 'mul':
                # This operation only changes the modifier for subsequent steps
                modifier = num
        else:
            # If the number is not in the map, penalize the score
            # and reset the modifier.
            score -= modifier
            modifier = 1

op_map = {
    3: 'add',
    5: 'mul',
    2: 'sub',
    7: 'add'
}
num_seq = [3, 5, 4, 2, 7]

print(process_data(op_map, num_seq))",None
"Develop the most efficient python code to execute this output -
A
bc
DEF
ghij
KLMNO... and so on based on the input number of rows.","Check which gives best - there should be some %2"
"Which of these about a dictionary is false?
a) The values of a dictionary can be accessed through indices.
b) Dictionaries are ordered.
c) The keys of a dictionary can be accessed through values.
d) Dictionaries are mutable.",a) and c)
